0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/Chitietsanpham?maSach=68 HTTP/1.1" 200 45698
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:50 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:53 +0700] "GET /KhoSach/ThemSachGioHangServlet?sL=1&mS=68&tS=L%E1%BB%A3i+th%E1%BA%BF+b%C3%A1n+h%C3%A0ng&sLM=20&anh=L%E1%BB%A3i_Th%E1%BA%BF_B%C3%A1n_H%C3%A0ng.jpeg&gia=45000 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:54 +0700] "GET /KhoSach/Giohang HTTP/1.1" 200 45650
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:54 +0700] "GET /KhoSach/images/ft-img-2.png HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:54 +0700] "GET /KhoSach/images/product-1.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:54 +0700] "GET /KhoSach/img/3.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:54 +0700] "GET /KhoSach/img/1.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:54 +0700] "GET /KhoSach/img/2.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:54 +0700] "GET /KhoSach/images/ft-left.png HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:55 +0700] "POST /KhoSach/CapNhatSoLuongGioHangServlet HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:55 +0700] "POST /KhoSach/CapNhatSoLuongGioHangServlet HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:56 +0700] "POST /KhoSach/CapNhatSoLuongGioHangServlet HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [01/May/2020:08:24:56 +0700] "POST /KhoSach/CapNhatSoLuongGioHangServlet HTTP/1.1" 200 13
